CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
10000;MADRID-PRINCIPE PIO;MADRID;00:00 - 00:30;0;36
10000;MADRID-PRINCIPE PIO;MADRID;05:30 - 06:00;2;0
10000;MADRID-PRINCIPE PIO;MADRID;06:00 - 06:30;56;50
10000;MADRID-PRINCIPE PIO;MADRID;06:30 - 07:00;258;239
10000;MADRID-PRINCIPE PIO;MADRID;07:00 - 07:30;428;442
10000;MADRID-PRINCIPE PIO;MADRID;07:30 - 08:00;668;808
10000;MADRID-PRINCIPE PIO;MADRID;08:00 - 08:30;825;1166
10000;MADRID-PRINCIPE PIO;MADRID;08:30 - 09:00;767;1140
10000;MADRID-PRINCIPE PIO;MADRID;09:00 - 09:30;622;739
10000;MADRID-PRINCIPE PIO;MADRID;09:30 - 10:00;397;511
10000;MADRID-PRINCIPE PIO;MADRID;10:00 - 10:30;237;359
10000;MADRID-PRINCIPE PIO;MADRID;10:30 - 11:00;107;273
10000;MADRID-PRINCIPE PIO;MADRID;11:00 - 11:30;268;326
10000;MADRID-PRINCIPE PIO;MADRID;11:30 - 12:00;133;241
10000;MADRID-PRINCIPE PIO;MADRID;12:00 - 12:30;336;335
10000;MADRID-PRINCIPE PIO;MADRID;12:30 - 13:00;258;294
10000;MADRID-PRINCIPE PIO;MADRID;13:00 - 13:30;242;221
10000;MADRID-PRINCIPE PIO;MADRID;13:30 - 14:00;443;429
10000;MADRID-PRINCIPE PIO;MADRID;14:00 - 14:30;525;484
10000;MADRID-PRINCIPE PIO;MADRID;14:30 - 15:00;757;537
10000;MADRID-PRINCIPE PIO;MADRID;15:00 - 15:30;527;629
10000;MADRID-PRINCIPE PIO;MADRID;15:30 - 16:00;685;662
10000;MADRID-PRINCIPE PIO;MADRID;16:00 - 16:30;404;448
10000;MADRID-PRINCIPE PIO;MADRID;16:30 - 17:00;304;395
10000;MADRID-PRINCIPE PIO;MADRID;17:00 - 17:30;485;455
10000;MADRID-PRINCIPE PIO;MADRID;17:30 - 18:00;312;249
10000;MADRID-PRINCIPE PIO;MADRID;18:00 - 18:30;514;608
10000;MADRID-PRINCIPE PIO;MADRID;18:30 - 19:00;617;858
10000;MADRID-PRINCIPE PIO;MADRID;19:00 - 19:30;468;326
10000;MADRID-PRINCIPE PIO;MADRID;19:30 - 20:00;417;668
10000;MADRID-PRINCIPE PIO;MADRID;20:00 - 20:30;643;644
10000;MADRID-PRINCIPE PIO;MADRID;20:30 - 21:00;342;434
10000;MADRID-PRINCIPE PIO;MADRID;21:00 - 21:30;198;231
10000;MADRID-PRINCIPE PIO;MADRID;21:30 - 22:00;439;334
10000;MADRID-PRINCIPE PIO;MADRID;22:00 - 22:30;263;222
10000;MADRID-PRINCIPE PIO;MADRID;22:30 - 23:00;155;113
10000;MADRID-PRINCIPE PIO;MADRID;23:00 - 23:30;115;99
10000;MADRID-PRINCIPE PIO;MADRID;23:30 - 00:00;72;62
10001;ARAVACA;MADRID;06:00 - 06:30;27;5
10001;ARAVACA;MADRID;06:30 - 07:00;81;187
10001;ARAVACA;MADRID;07:00 - 07:30;242;277
10001;ARAVACA;MADRID;07:30 - 08:00;471;574
10001;ARAVACA;MADRID;08:00 - 08:30;634;349
10001;ARAVACA;MADRID;08:30 - 09:00;534;1109
10001;ARAVACA;MADRID;09:00 - 09:30;302;228
10001;ARAVACA;MADRID;09:30 - 10:00;185;388
10001;ARAVACA;MADRID;10:00 - 10:30;123;77
10001;ARAVACA;MADRID;10:30 - 11:00;140;226
10001;ARAVACA;MADRID;11:00 - 11:30;84;125
10001;ARAVACA;MADRID;11:30 - 12:00;105;73
10001;ARAVACA;MADRID;12:00 - 12:30;188;206
10001;ARAVACA;MADRID;12:30 - 13:00;230;131
10001;ARAVACA;MADRID;13:00 - 13:30;215;181
10001;ARAVACA;MADRID;13:30 - 14:00;173;138
10001;ARAVACA;MADRID;14:00 - 14:30;293;237
10001;ARAVACA;MADRID;14:30 - 15:00;306;318
10001;ARAVACA;MADRID;15:00 - 15:30;475;406
10001;ARAVACA;MADRID;15:30 - 16:00;128;233
10001;ARAVACA;MADRID;16:00 - 16:30;320;363
10001;ARAVACA;MADRID;16:30 - 17:00;118;251
10001;ARAVACA;MADRID;17:00 - 17:30;293;226
10001;ARAVACA;MADRID;17:30 - 18:00;247;234
10001;ARAVACA;MADRID;18:00 - 18:30;125;317
10001;ARAVACA;MADRID;18:30 - 19:00;715;324
10001;ARAVACA;MADRID;19:00 - 19:30;171;141
10001;ARAVACA;MADRID;19:30 - 20:00;565;451
10001;ARAVACA;MADRID;20:00 - 20:30;262;278
10001;ARAVACA;MADRID;20:30 - 21:00;140;237
10001;ARAVACA;MADRID;21:00 - 21:30;176;92
10001;ARAVACA;MADRID;21:30 - 22:00;100;151
10001;ARAVACA;MADRID;22:00 - 22:30;72;104
10001;ARAVACA;MADRID;22:30 - 23:00;32;46
10001;ARAVACA;MADRID;23:00 - 23:30;39;32
10001;ARAVACA;MADRID;23:30 - 00:00;34;22
10002;POZUELO;MADRID;06:00 - 06:30;24;6
10002;POZUELO;MADRID;06:30 - 07:00;46;108
10002;POZUELO;MADRID;07:00 - 07:30;218;240
10002;POZUELO;MADRID;07:30 - 08:00;168;264
10002;POZUELO;MADRID;08:00 - 08:30;349;401
10002;POZUELO;MADRID;08:30 - 09:00;285;589
10002;POZUELO;MADRID;09:00 - 09:30;184;229
10002;POZUELO;MADRID;09:30 - 10:00;105;179
10002;POZUELO;MADRID;10:00 - 10:30;122;148
10002;POZUELO;MADRID;10:30 - 11:00;93;89
10002;POZUELO;MADRID;11:00 - 11:30;75;117
10002;POZUELO;MADRID;11:30 - 12:00;98;85
10002;POZUELO;MADRID;12:00 - 12:30;111;121
10002;POZUELO;MADRID;12:30 - 13:00;103;75
10002;POZUELO;MADRID;13:00 - 13:30;197;102
10002;POZUELO;MADRID;13:30 - 14:00;139;87
10002;POZUELO;MADRID;14:00 - 14:30;233;147
10002;POZUELO;MADRID;14:30 - 15:00;163;186
10002;POZUELO;MADRID;15:00 - 15:30;198;214
10002;POZUELO;MADRID;15:30 - 16:00;117;130
10002;POZUELO;MADRID;16:00 - 16:30;185;214
10002;POZUELO;MADRID;16:30 - 17:00;175;196
10002;POZUELO;MADRID;17:00 - 17:30;215;117
10002;POZUELO;MADRID;17:30 - 18:00;188;145
10002;POZUELO;MADRID;18:00 - 18:30;134;296
10002;POZUELO;MADRID;18:30 - 19:00;207;180
