Nombre;Final;Máximo;Mínimo;Volumen;Efectivo
ACCIONA;95,95;96,75;94,4;84.962;8166,11
ACERINOX;8668;8672;8468;885.99;7633,81
ACS;37,28;37,66;37,22;655.982;24517,29
AENA;167,1;167,5;166,1;133.738;22336,10
AMADEUS;69,96;70,64;69,56;640.476;44795,47
ARCELORMIT.;14152;14318;14,08;702.841;9989,65
BA.SABADELL;1,0165;1033;1,0165;12.358.512;12637,65
BA.SANTANDER;4,02;4,0675;4,01;36.129.692;145765,44
BANKIA;2249;2262;2224;3.024.454;6803,54
BANKINTER;6,56;6604;6522;1.375.976;9030,20
BBVA;5024;5,05;4969;26.447.612;132560,15
CAIXABANK;2763;2806;2762;13.031.097;36239,22
CELLNEX;30,17;30,7;30,17;857.237;25965,29
CIE AUTOMOT.;23,44;23,74;23,4;99.506;2343,09
ENAGAS;25,6;25,66;25,07;842.54;21524,77
ENCE;3882;3974;3846;2.099.698;8219,83
ENDESA;22,95;23,03;22,62;1.236.799;28233,46
FERROVIAL;21,61;21,72;21,38;2.065.931;44656,05
GRIFOLS CL.A;23,3;23,6;23,27;719.503;16787,55
IAG;5,3;5,46;5292;2.155.081;11561,95
IBERDROLA;8,45;8,45;8262;15.637.958;131426,05
INDITEX;24,93;25,19;24,87;2.600.144;65012,92
INDRA A;9,56;9685;9535;392.06;3755,57
INM.COLONIAL;9915;9915;9745;671.753;6640,38
MAPFRE;2654;2654;2,62;3.045.972;8063,13
MEDIASET;6446;6592;6446;2.647.557;17277,04
MELIA HOTELS;8,14;8,19;8,02;480.21;3914,93
MERLIN;12,08;12,08;11,83;777.543;9357,77
NATURGY;26,7;26,77;26,53;2.100.737;55986,54
R.E.C.;19705;19875;19675;1.246.171;24585,33
REPSOL;14515;14605;14,46;5.046.648;73333,78
SIEMENS GAME;14,33;14,39;14155;1.054.847;15084,56
TEC.REUNIDAS;23;23,2;22,78;122.1;2807,19
TELEFONICA;7204;7256;7185;9.913.249;71564,99
VISCOFAN;48,46;49,12;48,46;67.71;3295,43
