Marca;Modelo;Tipo;Potencia;Precio
Acura;MDX;SUV;265;33337.0
Acura;RSX Type S 2dr;Sedan;200;21761.0
Acura;TSX 4dr;Sedan;200;24647.0
Acura;TL 4dr;Sedan;270;30299.0
Acura;3.5 RL 4dr;Sedan;225;39014.0
Acura;3.5 RL w/Navigation 4dr;Sedan;225;41100.0
Acura;NSX coupe 2dr manual S;Sports;290;79978.0
Audi;A4 1.8T 4dr;Sedan;170;23508.0
Audi;A41.8T convertible 2dr;Sedan;170;32506.0
Audi;A4 3.0 4dr;Sedan;220;28846.0
Audi;A4 3.0 Quattro 4dr manual;Sedan;220;30366.0
Audi;A4 3.0 Quattro 4dr auto;Sedan;220;31388.0
Audi;A6 3.0 4dr;Sedan;220;33129.0
Audi;A6 3.0 Quattro 4dr;Sedan;220;35992.0
Audi;A4 3.0 convertible 2dr;Sedan;220;38325.0
Audi;A4 3.0 Quattro convertible 2dr;Sedan;220;40075.0
Audi;A6 2.7 Turbo Quattro 4dr;Sedan;250;38840.0
Audi;A6 4.2 Quattro 4dr;Sedan;300;44936.0
Audi;A8 L Quattro 4dr;Sedan;330;64740.0
Audi;S4 Quattro 4dr;Sedan;340;43556.0
Audi;RS 6 4dr;Sports;450;76417.0
Audi;TT 1.8 convertible 2dr (coupe);Sports;180;32512.0
Audi;TT 1.8 Quattro 2dr (convertible);Sports;225;33891.0
Audi;TT 3.2 coupe 2dr (convertible);Sports;250;36739.0
Audi;A6 3.0 Avant Quattro;Wagon;220;37060.0
Audi;S4 Avant Quattro;Wagon;340;44446.0
BMW;X3 3.0i;SUV;225;33873.0
BMW;X5 4.4i;SUV;325;47720.0
BMW;325i 4dr;Sedan;184;26155.0
BMW;325Ci 2dr;Sedan;184;28245.0
BMW;325Ci convertible 2dr;Sedan;184;34800.0
BMW;325xi 4dr;Sedan;184;27745.0
BMW;330i 4dr;Sedan;225;32525.0
BMW;330Ci 2dr;Sedan;225;33890.0
BMW;330xi 4dr;Sedan;225;34115.0
BMW;525i 4dr;Sedan;;36620.0
BMW;330Ci convertible 2dr;Sedan;225;40530.0
BMW;530i 4dr;Sedan;225;41170.0
BMW;545iA 4dr;Sedan;325;50270.0
BMW;745i 4dr;Sedan;325;63190.0
BMW;745Li 4dr;Sedan;325;66830.0
BMW;M3 coupe 2dr;Sports;333;44170.0
BMW;M3 convertible 2dr;Sports;333;51815.0
BMW;Z4 convertible 2.5i 2dr;Sports;184;31065.0
BMW;Z4 convertible 3.0i 2dr;Sports;225;37575.0
BMW;325xi Sport;Wagon;184;30110.0
Buick;Rainier;SUV;275;34357.0
Buick;Rendezvous CX;SUV;185;24085.0
Buick;Century Custom 4dr;Sedan;175;20351.0
Buick;LeSabre Custom 4dr;Sedan;205;24282.0
Buick;Regal LS 4dr;Sedan;200;22835.0
Buick;Regal GS 4dr;Sedan;240;26047.0
Buick;LeSabre Limited 4dr;Sedan;205;29566.0
Buick;Park Avenue 4dr;Sedan;205;32244.0
Buick;Park Avenue Ultra 4dr;Sedan;240;36927.0
Cadillac;Escalade;SUV;295;48377.0
Cadillac;SRX V8;SUV;320;43523.0
Cadillac;CTS VVT 4dr;Sedan;255;28575.0
Cadillac;Deville 4dr;Sedan;275;41650.0
Cadillac;Deville DTS 4dr;Sedan;300;46362.0
Cadillac;Seville SLS 4dr;Sedan;275;43841.0
Cadillac;XLR convertible 2dr;Sports;320;70546.0
Cadillac;Escalade EXT;Truck;345;48541.0
Chevrolet;Suburban 1500 LT;SUV;295;37422.0
Chevrolet;Tahoe LT;SUV;295;36287.0
Chevrolet;TrailBlazer LT;SUV;275;27479.0
Chevrolet;Tracker;SUV;165;19108.0
Chevrolet;Aveo 4dr;Sedan;103;10965.0
Chevrolet;Aveo LS 4dr hatch;Sedan;103;11802.0
Chevrolet;Cavalier 2dr;Sedan;140;13697.0
Chevrolet;Cavalier 4dr;Sedan;140;13884.0
Chevrolet;Cavalier LS 2dr;Sedan;140;15357.0
Chevrolet;Impala 4dr;Sedan;180;20095.0
Chevrolet;Malibu 4dr;Sedan;145;17434.0
Chevrolet;Malibu LS 4dr;Sedan;200;18639.0
Chevrolet;Monte Carlo LS 2dr;Sedan;180;20026.0
Chevrolet;Impala LS 4dr;Sedan;200;22931.0
Chevrolet;Impala SS 4dr;Sedan;240;25672.0
Chevrolet;Malibu LT 4dr;Sedan;200;21551.0
Chevrolet;Monte Carlo SS 2dr;Sedan;200;22222.0
Chevrolet;Astro;Sedan;190;23954.0
Chevrolet;Venture LS;Sedan;185;24518.0
Chevrolet;Corvette 2dr;Sports;350;39068.0
Chevrolet;Corvette convertible 2dr;Sports;350;45193.0
Chevrolet;Avalanche 1500;Truck;295;31689.0
Chevrolet;Colorado Z85;Truck;175;17070.0
Chevrolet;Silverado 1500 Regular Cab;Truck;200;18480.0
Chevrolet;Silverado SS;Truck;300;35399.0
Chevrolet;SSR;Truck;300;39306.0
Chevrolet;Malibu Maxx LS;Wagon;200;20394.0
Chrysler;PT Cruiser 4dr;Sedan;150;16919.0
Chrysler;PT Cruiser Limited 4dr;Sedan;150;20573.0
Chrysler;Sebring 4dr;Sedan;150;17805.0
Chrysler;Sebring Touring 4dr;Sedan;200;20284.0
Chrysler;300M 4dr;Sedan;250;27797.0
Chrysler;Concorde LX 4dr;Sedan;200;22452.0
Chrysler;Concorde LXi 4dr;Sedan;;24909.0
Chrysler;PT Cruiser GT 4dr;Sedan;220;24172.0
Chrysler;Sebring convertible 2dr;Sedan;150;23451.0
Chrysler;300M Special Edition 4dr;Sedan;255;30884.0
Chrysler;Sebring Limited convertible 2dr;Sedan;200;28613.0
Chrysler;Town and Country LX;Sedan;180;25371.0
Chrysler;Town and Country Limited;Sedan;215;35063.0
Chrysler;Crossfire 2dr;Sports;215;32033.0
Chrysler;Pacifica;Wagon;250;28725.0
Dodge;Durango SLT;SUV;230;29472.0
Dodge;Neon SE 4dr;Sedan;132;12849.0
Dodge;Neon SXT 4dr;Sedan;132;14086.0
Dodge;Intrepid SE 4dr;Sedan;200;20502.0
Dodge;Stratus SXT 4dr;Sedan;150;17512.0
Dodge;Stratus SE 4dr;Sedan;150;18821.0
Dodge;Intrepid ES 4dr;Sedan;232;23058.0
Dodge;Caravan SE;Sedan;150;20508.0
Dodge;Grand Caravan SXT;Sedan;215;29812.0
Dodge;Viper SRT-10 convertible 2dr;Sports;500;74451.0
Dodge;Dakota Regular Cab;Truck;210;16264.0
Dodge;Dakota Club Cab;Truck;210;18670.0
Dodge;Ram 1500 Regular Cab ST;Truck;215;18076.0
Ford;Excursion 6.8 XLT;SUV;310;36494.0
Ford;Expedition 4.6 XLT;SUV;232;30468.0
Ford;Explorer XLT V6;SUV;210;26983.0
Ford;Escape XLS;SUV;201;20907.0
Ford;Focus ZX3 2dr hatch;Sedan;130;12482.0
Ford;Focus LX 4dr;Sedan;110;12906.0
Ford;Focus SE 4dr;Sedan;130;14496.0
Ford;Focus ZX5 5dr;Sedan;130;14607.0
Ford;Focus SVT 2dr;Sedan;170;17878.0
Ford;Taurus LX 4dr;Sedan;155;18881.0
Ford;Taurus SES Duratec 4dr;Sedan;201;20857.0
Ford;Crown Victoria 4dr;Sedan;224;22856.0
Ford;Crown Victoria LX 4dr;Sedan;224;25105.0
Ford;Crown Victoria LX Sport 4dr;Sedan;239;27756.0
Ford;Freestar SE;Sedan;193;24498.0
