age,job,marital,education,default,housing,loan
56,housemaid,married,basic.4y,no,no,no
57,services,married,high.school,unknown,no,no
37,services,married,high.school,no,yes,no
40,admin.,married,basic.6y,no,no,no
56,services,married,high.school,no,no,yes
45,services,married,basic.9y,unknown,no,no
59,admin.,married,professional.course,no,no,no
41,blue-collar,married,unknown,unknown,no,no
24,technician,single,professional.course,no,yes,no
25,services,single,high.school,no,yes,no
41,blue-collar,married,unknown,unknown,no,no
25,services,single,high.school,no,yes,no
29,blue-collar,single,high.school,no,no,yes
57,housemaid,divorced,basic.4y,no,yes,no
35,blue-collar,married,basic.6y,no,yes,no
54,retired,married,basic.9y,unknown,yes,yes
35,blue-collar,married,basic.6y,no,yes,no
46,blue-collar,married,basic.6y,unknown,yes,yes
50,blue-collar,married,basic.9y,no,yes,yes
39,management,single,basic.9y,unknown,no,no
30,unemployed,married,high.school,no,no,no
55,blue-collar,married,basic.4y,unknown,yes,no
55,retired,single,high.school,no,yes,no
41,technician,single,high.school,no,yes,no
37,admin.,married,high.school,no,yes,no
35,technician,married,university.degree,no,no,yes
59,technician,married,unknown,no,yes,no
39,self-employed,married,basic.9y,unknown,no,no
54,technician,single,university.degree,unknown,no,no
55,unknown,married,university.degree,unknown,unknown,unknown
46,admin.,married,unknown,no,no,no
59,technician,married,unknown,no,yes,no
49,blue-collar,married,unknown,no,no,no
54,management,married,basic.4y,unknown,yes,no
54,blue-collar,divorced,basic.4y,no,no,no
55,unknown,married,basic.4y,unknown,yes,no
34,services,married,high.school,no,no,no
52,technician,married,basic.9y,no,yes,no
41,admin.,married,university.degree,no,yes,no
56,technician,married,basic.4y,no,yes,no
58,management,unknown,university.degree,no,yes,no
32,entrepreneur,married,high.school,no,yes,no
38,admin.,single,professional.course,no,no,no
57,admin.,married,university.degree,no,no,yes
44,admin.,married,university.degree,unknown,yes,no
42,technician,single,professional.course,unknown,no,no
57,admin.,married,university.degree,no,yes,yes
40,blue-collar,married,basic.9y,no,no,yes
35,admin.,married,university.degree,no,yes,no
45,blue-collar,married,basic.9y,no,yes,no
54,admin.,married,high.school,no,no,no
39,housemaid,married,basic.4y,no,no,yes
60,admin.,married,high.school,no,no,no
53,admin.,single,professional.course,no,no,no
55,blue-collar,married,basic.4y,unknown,no,no
55,technician,married,professional.course,unknown,yes,no
50,management,married,university.degree,unknown,no,yes
45,services,married,high.school,unknown,yes,no
55,unemployed,married,professional.course,unknown,yes,yes
25,technician,single,university.degree,no,yes,no
47,entrepreneur,married,university.degree,unknown,no,no
51,blue-collar,married,basic.9y,no,yes,no
42,blue-collar,married,basic.6y,unknown,yes,no
42,blue-collar,married,basic.6y,unknown,no,no
48,admin.,married,high.school,no,no,no
37,admin.,married,university.degree,no,no,no
44,blue-collar,single,basic.9y,no,yes,no
33,admin.,married,unknown,no,yes,no
56,admin.,married,basic.9y,no,yes,no
44,blue-collar,single,basic.4y,unknown,yes,yes
41,management,married,basic.6y,no,no,no
44,management,divorced,university.degree,no,yes,no
47,admin.,married,university.degree,unknown,yes,no
57,unknown,married,unknown,unknown,no,no
37,admin.,married,university.degree,unknown,yes,no
41,blue-collar,divorced,basic.4y,unknown,yes,no
55,technician,married,university.degree,no,no,no
