Empresa,Fecha,Apertura,Máximo,Mínimo,Cierre,Volumen
Banco Sabadell,2021-04-01,0.459100,0.459100,0.444500,0.455300,30084389
Banco Sabadell,2021-04-06,0.463000,0.477800,0.458100,0.465600,44336977
Banco Sabadell,2021-04-07,0.465000,0.470500,0.462600,0.467300,22517116
Banco Sabadell,2021-04-08,0.466200,0.469500,0.453600,0.460700,30800345
Banco Sabadell,2021-04-09,0.460700,0.464400,0.451200,0.460000,35703383
Banco Sabadell,2021-04-12,0.458700,0.474500,0.450300,0.470000,34506495
Banco Sabadell,2021-04-13,0.470100,0.478200,0.460700,0.469700,30266899
Banco Sabadell,2021-04-14,0.467100,0.473600,0.464400,0.471900,31658513
Banco Sabadell,2021-04-15,0.471600,0.473000,0.457200,0.458200,27866302
Banco Sabadell,2021-04-16,0.460800,0.467800,0.458600,0.465300,25541663
Banco Sabadell,2021-04-19,0.465300,0.479700,0.462100,0.476700,35412137
Banco Sabadell,2021-04-20,0.476200,0.476200,0.455600,0.457000,33291719
Banco Sabadell,2021-04-21,0.460700,0.468300,0.446100,0.457800,36341886
Banco Sabadell,2021-04-22,0.459700,0.459700,0.449200,0.458000,27145798
Banco Sabadell,2021-04-23,0.454400,0.462200,0.451600,0.459200,17362681
Banco Sabadell,2021-04-26,0.458700,0.472600,0.452700,0.471600,30043878
Banco Sabadell,2021-04-27,0.468100,0.478800,0.465200,0.475700,24904842
Banco Sabadell,2021-04-28,0.476400,0.493300,0.472100,0.492000,54648467
Banco Sabadell,2021-04-29,0.494300,0.497100,0.484200,0.485000,39522150
Banco Sabadell,2021-04-30,0.490000,0.529000,0.487400,0.527400,111247189
Banco Santander,2021-04-01,3.390000,3.430000,3.380000,3.420000,2141100
Banco Santander,2021-04-05,3.440000,3.490000,3.440000,3.470000,2633000
Banco Santander,2021-04-06,3.460000,3.490000,3.450000,3.480000,3570900
Banco Santander,2021-04-07,3.500000,3.540000,3.490000,3.540000,3649300
Banco Santander,2021-04-08,3.460000,3.510000,3.420000,3.510000,3109300
Banco Santander,2021-04-09,3.460000,3.490000,3.440000,3.460000,7964600
Banco Santander,2021-04-12,3.470000,3.500000,3.450000,3.470000,3406600
Banco Santander,2021-04-13,3.430000,3.460000,3.410000,3.440000,3455000
Banco Santander,2021-04-14,3.450000,3.500000,3.450000,3.480000,3277200
Banco Santander,2021-04-15,3.470000,3.470000,3.390000,3.430000,4562200
Banco Santander,2021-04-16,3.440000,3.470000,3.430000,3.460000,2807400
Banco Santander,2021-04-19,3.570000,3.590000,3.530000,3.540000,7095200
Banco Santander,2021-04-20,3.480000,3.490000,3.400000,3.420000,7059700
Banco Santander,2021-04-21,3.320000,3.400000,3.310000,3.390000,4409000
Banco Santander,2021-04-22,3.390000,3.410000,3.360000,3.370000,3804400
Banco Santander,2021-04-23,3.370000,3.440000,3.360000,3.430000,3519200
Banco Santander,2021-04-26,3.470000,3.500000,3.470000,3.490000,2730000
Banco Santander,2021-04-27,3.570000,3.660000,3.560000,3.660000,7772500
Banco Santander,2021-04-28,3.720000,3.780000,3.710000,3.780000,8097400
Banco Santander,2021-04-29,3.840000,3.860000,3.810000,3.840000,7682300
Banco Santander,2021-04-30,3.820000,3.840000,3.800000,3.810000,4689000
Bankinter,2021-04-01,5.900000,5.900000,5.764000,5.852000,2203169
Bankinter,2021-04-06,5.866000,5.932000,5.802000,5.802000,2034249
Bankinter,2021-04-07,5.802000,5.860000,5.734000,5.848000,3149916
Bankinter,2021-04-08,5.874000,5.896000,5.760000,5.876000,2209946
Bankinter,2021-04-09,5.882000,5.896000,5.828000,5.852000,1144539
Bankinter,2021-04-12,5.858000,5.876000,5.790000,5.832000,1647126
Bankinter,2021-04-13,5.870000,5.940000,5.748000,5.804000,2996279
Bankinter,2021-04-14,5.820000,5.838000,5.754000,5.830000,1968295
Bankinter,2021-04-15,5.838000,5.904000,5.714000,5.714000,2844106
Bankinter,2021-04-16,5.754000,5.824000,5.736000,5.800000,4852141
Bankinter,2021-04-19,5.814000,5.938000,5.782000,5.892000,2284461
Bankinter,2021-04-20,5.896000,5.900000,5.640000,5.640000,3389111
Bankinter,2021-04-21,5.700000,5.744000,5.520000,5.600000,4662438
Bankinter,2021-04-22,5.606000,5.630000,5.450000,5.524000,4597871
Bankinter,2021-04-23,5.550000,5.670000,5.508000,5.614000,3028075
Bankinter,2021-04-26,5.610000,5.782000,5.474000,5.766000,5682210
Bankinter,2021-04-27,5.766000,5.852000,5.730000,5.830000,5783671
Bankinter,2021-04-28,5.880000,6.026000,5.830000,5.956000,4522941
Bankinter,2021-04-29,4.582000,4.699000,4.510000,4.567000,12156249
Bankinter,2021-04-30,4.599000,4.646000,4.557000,4.557000,5440366
BBVA,2021-04-01,5.240000,5.260000,5.210000,5.250000,1612300
BBVA,2021-04-05,5.300000,5.340000,5.290000,5.330000,949300
BBVA,2021-04-06,5.390000,5.410000,5.340000,5.360000,1358500
BBVA,2021-04-07,5.370000,5.410000,5.350000,5.410000,1349700
BBVA,2021-04-08,5.320000,5.430000,5.290000,5.420000,1153800
BBVA,2021-04-09,5.300000,5.330000,5.260000,5.300000,2514600
BBVA,2021-04-12,5.310000,5.350000,5.300000,5.330000,1065900
BBVA,2021-04-13,5.280000,5.310000,5.240000,5.290000,919600
BBVA,2021-04-14,5.300000,5.370000,5.300000,5.350000,973300
BBVA,2021-04-15,5.310000,5.320000,5.190000,5.230000,1912200
BBVA,2021-04-16,5.210000,5.270000,5.200000,5.270000,1853100
BBVA,2021-04-19,5.410000,5.470000,5.400000,5.420000,2310100
BBVA,2021-04-20,5.310000,5.310000,5.180000,5.200000,1894900
BBVA,2021-04-21,5.090000,5.230000,5.080000,5.210000,1670900
BBVA,2021-04-22,5.280000,5.310000,5.240000,5.260000,1945400
BBVA,2021-04-23,5.250000,5.280000,5.220000,5.260000,1219400
BBVA,2021-04-26,5.360000,5.430000,5.360000,5.400000,1448700
BBVA,2021-04-27,5.400000,5.470000,5.370000,5.460000,1177400
BBVA,2021-04-28,5.430000,5.470000,5.420000,5.460000,1171300
BBVA,2021-04-29,5.600000,5.620000,5.500000,5.550000,2095300
BBVA,2021-04-30,5.670000,5.690000,5.590000,5.600000,2050400
Caixabank,2021-04-01,2.600000,2.602000,2.562000,2.600000,36653487
Caixabank,2021-04-06,2.620000,2.639000,2.581000,2.598000,14825783
Caixabank,2021-04-07,2.615000,2.624000,2.583000,2.617000,12527937
Caixabank,2021-04-08,2.629000,2.636000,2.545000,2.579000,11855845
Caixabank,2021-04-09,2.591000,2.598000,2.556000,2.587000,8081218
Caixabank,2021-04-12,2.583000,2.627000,2.555000,2.601000,7111565
Caixabank,2021-04-13,2.606000,2.619000,2.538000,2.559000,17478085
Caixabank,2021-04-14,2.557000,2.588000,2.542000,2.588000,7407855
Caixabank,2021-04-15,2.589000,2.597000,2.535000,2.535000,8628620
Caixabank,2021-04-16,2.552000,2.576000,2.526000,2.558000,11330930
Caixabank,2021-04-19,2.545000,2.605000,2.520000,2.594000,12289243
Caixabank,2021-04-20,2.599000,2.599000,2.492000,2.499000,11531677
Caixabank,2021-04-21,2.520000,2.557000,2.479000,2.519000,14295378
Caixabank,2021-04-22,2.546000,2.562000,2.503000,2.535000,9213626
Caixabank,2021-04-23,2.520000,2.536000,2.478000,2.495000,11236822
Caixabank,2021-04-26,2.500000,2.553000,2.467000,2.547000,18930563
Caixabank,2021-04-27,2.560000,2.617000,2.527000,2.606000,11769775
Caixabank,2021-04-28,2.620000,2.643000,2.577000,2.617000,11811235
Caixabank,2021-04-29,2.629000,2.686000,2.603000,2.657000,15696456
Caixabank,2021-04-30,2.655000,2.685000,2.640000,2.667000,11391476
