 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
98305;AEROPUERTO T-4;40.491691;-3.593988;CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS;28042;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion98305.pdf;
70103;ALCALA DE HENARES;40.488976;-3.3664702;PASEO ESTACION FERROCARRIL, S/N;28807;Alcalá de Henares;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70103.pdf;
70107;ALCALA DE HENARES-UNIVERSIDAD;40.5054503;-3.3353684;CARRETERA CAMPUS UNIVERSITARIO DE ALCALA, S/N;28807;Alcalá de Henares;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70107.pdf;
19003;ALCOBENDAS SAN SEBASTIAN DE LOS REYES;40.546744;-3.635149;AVENIDA DE ESPAÑA, 52;28100;San Sebastián de los Reyes;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion19003.pdf;
35605;ALCORCON;40.350199;-3.831678;AVENIDA DE MOSTOLES, 4;28922;Alcorcón;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35605.pdf;
12002;ALPEDRETE;40.658096;-4.034996;CAMINO DE LA ESTACION, 34;28439;Alpedrete;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12002.pdf;
35600;ALUCHE;40.385738;-3.760807;AVENIDA DE LOS POBLADOS, S/N;28047;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35600.pdf;
60200;ARANJUEZ;40.0347255;-3.6182069;PASEO ESTACION FERROCARRIL, S/N;28300;Aranjuez;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60200.pdf;
10001;ARAVACA;40.448345;-3.786191;AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N;28023;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10001.pdf;
70002;ASAMBLEA DE MADRID-ENTREVIAS;40.3814976;-3.667215;AVENIDA DE ENTREVIAS, S/N;28018;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70002.pdf;
70105;AZUQUECA;40.56104;-3.265446;PASEO ESTACION FERROCARRIL, S/N;19200;Azuqueca de Henares;Guadalajara;https://data.renfe.com/files/estaciones/FichaEstacion70105.pdf;
12006;CERCEDILLA;40.737516;-4.066481;CALLE EMILIO SERRANO, 30;28470;Cercedilla;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12006.pdf;
60105;CIEMPOZUELOS;40.1590641;-3.610221;AVENIDA DE SAN JUAN DE DIOS, S/N;28350;Ciempozuelos;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60105.pdf;
12004;COLLADO MEDIANO;40.692757;-4.035894;CALLE REAL, 73;28450;Collado Mediano;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion12004.pdf;
17005;COLMENAR VIEJO;40.645211;-3.776617;AVENIDA DE LA LIBERTAD, S/N;28770;Colmenar Viejo;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion17005.pdf;
70108;COSLADA;40.4241947;-3.5602359;CALLE DOCTOR FLEMING, S/N;21820;Coslada;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70108.pdf;
35603;CUATRO VIENTOS;40.377714;-3.7915739999999998;CALLE ROBERT DE CAPA, 26;28024;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35603.pdf;
18004;DELICIAS;40.400381;-3.692712;PASEO DE LAS DELICIAS, 61;28045;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion18004.pdf;
35702;DOCE DE OCTUBRE;40.379224;-3.698976;CALLE TOMELLOSO, 59;28026;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35702.pdf;
10010;EL BARRIAL-CENTRO COMERCIAL-POZUELO;40.465299;-3.807828;CALLE RAFAEL BOTI, 62;28224;Pozuelo de Alarcón;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10010.pdf;
60109;EL CASAR;40.3184029;-3.7092335;AVENIDA DEL CASAR, S/N;28903;Getafe;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion60109.pdf;
10203;EL ESCORIAL;40.585279;-4.132418;CALLE SANTA ROSA, 85;28280;Escorial, El;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion10203.pdf;
17003;EL GOLOSO;40.558808;-3.713966;CARRETERA COLMENAR VIEJO, KM 18;28049;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion17003.pdf;
70003;EL POZO;40.3765168;-3.6564132;CAMINO DE HORMIGUERAS, S/N;28031;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion70003.pdf;
35609;EMBAJADORES;40.404609;-3.702592;GLORIETA EMBAJADORES, 6;28012;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35609.pdf;
35601;FANJUL;40.38367;-3.768496;AVENIDA DE LAS AGUILAS, 25;28044;Madrid;Madrid;https://data.renfe.com/files/estaciones/FichaEstacion35601.pdf;
