Comunidad autónoma,Grupo,Año,Mes,IPC
Andalucía,Alimentos y bebidas no alcohólicas,2020,Mayo,107.26
Andalucía,Alimentos y bebidas no alcohólicas,2020,Abril,107.332
Andalucía,Alimentos y bebidas no alcohólicas,2020,Marzo,105.611
Andalucía,Alimentos y bebidas no alcohólicas,2020,Febrero,105.435
Andalucía,Alimentos y bebidas no alcohólicas,2020,Enero,105.058
Andalucía,Bebidas alcohólicas y tabaco,2020,Mayo,104.339
Andalucía,Bebidas alcohólicas y tabaco,2020,Abril,104.174
Andalucía,Bebidas alcohólicas y tabaco,2020,Marzo,103.796
Andalucía,Bebidas alcohólicas y tabaco,2020,Febrero,103.636
Andalucía,Bebidas alcohólicas y tabaco,2020,Enero,103.436
Andalucía,Vestido y calzado,2020,Mayo,110.538
Andalucía,Vestido y calzado,2020,Abril,108.01
Andalucía,Vestido y calzado,2020,Marzo,97.741
Andalucía,Vestido y calzado,2020,Febrero,92.678
Andalucía,Vestido y calzado,2020,Enero,93.68
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,98.383
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,98.125
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,99.978
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.957
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,103.149
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,99.962
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,99.662
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,99.318
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,99.146
Andalucía,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.063
Andalucía,Sanidad,2020,Mayo,102.148
Andalucía,Sanidad,2020,Abril,101.949
Andalucía,Sanidad,2020,Marzo,101.902
Andalucía,Sanidad,2020,Febrero,101.752
Andalucía,Sanidad,2020,Enero,101.814
Andalucía,Transporte,2020,Mayo,101.291
Andalucía,Transporte,2020,Abril,102.164
Andalucía,Transporte,2020,Marzo,105.747
Andalucía,Transporte,2020,Febrero,109.02
Andalucía,Transporte,2020,Enero,109.68
Andalucía,Comunicaciones,2020,Mayo,105.074
Andalucía,Comunicaciones,2020,Abril,105.191
Andalucía,Comunicaciones,2020,Marzo,105.362
Andalucía,Comunicaciones,2020,Febrero,104.078
Andalucía,Comunicaciones,2020,Enero,104.085
Andalucía,Ocio y cultura,2020,Mayo,98.653
Andalucía,Ocio y cultura,2020,Abril,99.854
Andalucía,Ocio y cultura,2020,Marzo,99.187
Andalucía,Ocio y cultura,2020,Febrero,99.457
Andalucía,Ocio y cultura,2020,Enero,98.591
Andalucía,Enseñanza,2020,Mayo,104.79
Andalucía,Enseñanza,2020,Abril,104.849
Andalucía,Enseñanza,2020,Marzo,104.836
Andalucía,Enseñanza,2020,Febrero,104.836
Andalucía,Enseñanza,2020,Enero,104.836
Andalucía,Restaurantes y hoteles,2020,Mayo,107.553
Andalucía,Restaurantes y hoteles,2020,Abril,107.119
Andalucía,Restaurantes y hoteles,2020,Marzo,106.458
Andalucía,Restaurantes y hoteles,2020,Febrero,106.251
Andalucía,Restaurantes y hoteles,2020,Enero,105.319
