Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,642695864756.35,519871519807.795,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,367216364716.365,400302731411.229,434568007512.913,398899138574.239,388608221581.652,415222633925.768,378376086723.194,394648911678.526,466488060570.763,612490396927.017,693407758231.845,746054207846.661,853099630996.31,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1330135756844.41,1433904348500.12,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,769305386182.849,850426432991.742,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630177251.068,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616200980392.16,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3550342425238.25,4594306848763.08,5101702432883.45,6087164527421.24,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9,..
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2586285406561.51,2777535239277.98,..
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194204133816.32,1943145384190.16,1944107382550.34,2068624129493.69,2496128668171.56,2809187981127.39,2845802760850.64,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83,3656749414477.08,3947620162502.96,..
India,IND,GDP (current US$),NY.GDP.MKTP.CD,360281952716.797,392897054348.071,415867753863.874,421351477504.743,458820417337.807,468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.66,820381595512.902,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823050405350.42,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75,2652242857923.91,2718732231257.57,..
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,202132028723.115,227369679374.973,215748998609.635,95445547872.715,140001351215.462,165021012077.81,160446947784.909,195660611165.183,234772463823.808,256836875295.452,285868618224.017,364570514304.85,432216737774.861,510228634992.258,539580085612.401,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015423455783.28,1042173300625.55,..
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1174662070605.02,1312426527795.21,1241879604365.62,1270052525928.4,1252023758789.69,1143829832319.88,1167012796420.58,1270712309429.7,1574145823927.77,1803226967966.23,1857524312896.41,1947919708944.93,2210292636189.43,2398856598798.89,2191241872742.43,2134017843247.16,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875579883543.09,1956960611690.59,2083864259622.65,..
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5449116304981.1,4833712542207.1,4414732843544.43,4032509760872.94,4562078822335.45,4887519660744.86,4303544259842.72,4115116279069.77,4445658071221.86,4815148854362.11,4755410630912.14,4530377224970.4,4515264514430.57,5037908465114.48,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4926667087367.51,4859950558538.97,4971323079771.87,..
