Date;Opening;Maximum;Minimum;Closing
03/ago;11180.6;11288.5;11141.2;11265.9
04/ago;11240.3;11244.8;11098.5;11150.5
05/ago;11195;11302.9;11184.7;11279.5
06/ago;11263.6;11327;11239.4;11253.6
07/ago;11244.9;11264;11176.8;11178.2
10/ago;11239.5;11330;11129.3;11311.7
11/ago;11278.5;11319.1;11137.8;11152.3
12/ago;11054.4;11054.4;10840.3;10880.1
13/ago;11030.8;11057.1;10938.5;10947.9
14/ago;10952.4;11034.3;10851.6;10879.3
17/ago;10983.1;11023.3;10774.4;10900.3
18/ago;10878;10952.2;10846.1;10897.9
19/ago;10843.7;10905.3;10776.8;10782.4
20/ago;10748.2;10797.5;10564.8;10587
21/ago;10434.4;10576.2;10270.2;10271.7
24/ago;9973.7;10078;9502.4;9756.6
25/ago;9880.4;10168.1;9819.9;10115.4
26/ago;10005.8;10132.9;9875.4;9984.5
27/ago;10229.6;10357.3;10176.2;10290.2
28/ago;10322.7;10352.9;10235.7;10352.9
31/ago;10297.2;10319.1;10190.4;10259
